Spring, Year 188;
Day 1;AlreadyPassed;Wheat;Potato;Melon;
Day 4;AlreadyPassed;Potato;Pumpkin;Mushroom;
Day 7;AlreadyPassed;Carrot;Sugar Cane;Nether Wart;
Day 10;AlreadyPassed;Wheat;Cactus;Cocoa Beans;
Day 13;AlreadyPassed;Potato;Nether Wart;Cocoa Beans;
Day 16;AlreadyPassed;Carrot;Pumpkin;Cactus;
Day 19;1643811304;Wheat;Melon;Mushroom;
Day 22;1643814904;Wheat;Sugar Cane;Cocoa Beans;
Day 25;1643818504;Melon;Mushroom;Cactus;
Day 28;1643822104;Carrot;Potato;Nether Wart;
Day 31;1643825704;Pumpkin;Mushroom;Nether Wart;
Late Spring, Year 188;
Day 3;1643829304;Potato;Cactus;Cocoa Beans;
Day 6;1643832904;Wheat;Melon;Sugar Cane;
Day 9;1643836504;Pumpkin;Melon;Nether Wart;
Day 12;1643840104;Potato;Sugar Cane;Cocoa Beans;
Day 15;1643843704;Wheat;Carrot;Mushroom;
Day 18;1643847304;Carrot;Potato;Nether Wart;
Day 21;1643850904;Wheat;Cactus;Sugar Cane;
Day 24;1643854504;Pumpkin;Melon;Mushroom;
Day 27;1643858104;Wheat;Melon;Cactus;
Day 30;1643861704;Carrot;Pumpkin;Cocoa Beans;
Early Summer, Year 188;
Day 2;1643865304;Potato;Sugar Cane;Nether Wart;
Day 5;1643868904;Carrot;Cactus;Sugar Cane;
Day 8;1643872504;Potato;Nether Wart;Cocoa Beans;
Day 11;1643876104;Wheat;Melon;Mushroom;
Day 14;1643879704;Pumpkin;Cactus;Cocoa Beans;
Day 17;1643883304;Carrot;Potato;Melon;
Day 20;1643886904;Wheat;Mushroom;Sugar Cane;
Day 23;1643890504;Carrot;Melon;Cactus;
Day 26;1643894104;Wheat;Sugar Cane;Cocoa Beans;
Day 29;1643897704;Pumpkin;Mushroom;Nether Wart;
Summer, Year 188;
Day 1;1643901304;Wheat;Carrot;Cactus;
Day 4;1643904904;Pumpkin;Mushroom;Cocoa Beans;
Day 7;1643908504;Potato;Melon;Nether Wart;
Day 10;1643912104;Potato;Melon;Nether Wart;
Day 13;1643915704;Wheat;Sugar Cane;Cocoa Beans;
Day 16;1643919304;Carrot;Mushroom;Cactus;
Day 19;1643922904;Carrot;Sugar Cane;Cocoa Beans;
Day 22;1643926504;Potato;Melon;Mushroom;
Day 25;1643930104;Wheat;Pumpkin;Cactus;
Day 28;1643933704;Melon;Cactus;Nether Wart;
Day 31;1643937304;Wheat;Mushroom;Cocoa Beans;
Late Summer, Year 188;
Day 3;1643940904;Potato;Pumpkin;Sugar Cane;
Day 6;1643944504;Potato;Pumpkin;Melon;
Day 9;1643948104;Wheat;Cactus;Cocoa Beans;
Day 12;1643951704;Carrot;Mushroom;Nether Wart;
Day 15;1643955304;Wheat;Potato;Cocoa Beans;
Day 18;1643958904;Pumpkin;Sugar Cane;Nether Wart;
Day 21;1643962504;Carrot;Melon;Cactus;
Day 24;1643966104;Carrot;Potato;Cocoa Beans;
Day 27;1643969704;Pumpkin;Sugar Cane;Nether Wart;
Day 30;1643973304;Melon;Mushroom;Cactus;
Early Autumn, Year 188;
Day 2;1643976904;Wheat;Nether Wart;Cocoa Beans;
Day 5;1643980504;Pumpkin;Mushroom;Cactus;
Day 8;1643984104;Carrot;Potato;Sugar Cane;
Day 11;1643987704;Pumpkin;Cactus;Sugar Cane;
Day 14;1643991304;Wheat;Melon;Nether Wart;
Day 17;1643994904;Carrot;Potato;Mushroom;
Day 20;1643998504;Potato;Pumpkin;Melon;
Day 23;1644002104;Wheat;Mushroom;Cocoa Beans;
Day 26;1644005704;Carrot;Cactus;Nether Wart;
Day 29;1644009304;Wheat;Carrot;Nether Wart;
Autumn, Year 188;
Day 1;1644012904;Pumpkin;Mushroom;Sugar Cane;
Day 4;1644016504;Melon;Cactus;Cocoa Beans;
Day 7;1644020104;Pumpkin;Mushroom;Sugar Cane;
Day 10;1644023704;Wheat;Melon;Nether Wart;
Day 13;1644027304;Carrot;Potato;Cocoa Beans;
Day 16;1644030904;Pumpkin;Melon;Sugar Cane;
Day 19;1644034504;Potato;Nether Wart;Cocoa Beans;
Day 22;1644038104;Wheat;Mushroom;Cactus;
Day 25;1644041704;Wheat;Pumpkin;Mushroom;
Day 28;1644045304;Potato;Sugar Cane;Nether Wart;
Day 31;1644048904;Carrot;Melon;Cactus;
Late Autumn, Year 188;
Day 3;1644052504;Carrot;Pumpkin;Cocoa Beans;
Day 6;1644056104;Potato;Sugar Cane;Nether Wart;
Day 9;1644059704;Wheat;Melon;Cactus;
Day 12;1644063304;Carrot;Sugar Cane;Cocoa Beans;
Day 15;1644066904;Pumpkin;Mushroom;Cactus;
Day 18;1644070504;Wheat;Potato;Melon;
Day 21;1644074104;Wheat;Pumpkin;Cocoa Beans;
Day 24;1644077704;Carrot;Potato;Sugar Cane;
Day 27;1644081304;Mushroom;Cactus;Nether Wart;
Day 30;1644084904;Pumpkin;Sugar Cane;Cocoa Beans;
Early Winter, Year 188;
Day 2;1644088504;Carrot;Mushroom;Nether Wart;
Day 5;1644092104;Wheat;Potato;Cactus;
Day 8;1644095704;Carrot;Mushroom;Nether Wart;
Day 11;1644099304;Wheat;Pumpkin;Cactus;
Day 14;1644102904;Potato;Melon;Sugar Cane;
Day 17;1644106504;Wheat;Carrot;Sugar Cane;
Day 20;1644110104;Melon;Mushroom;Nether Wart;
Day 23;1644113704;Potato;Cactus;Cocoa Beans;
Day 26;1644117304;Wheat;Pumpkin;Melon;
Day 29;1644120904;Carrot;Mushroom;Cactus;
Winter, Year 188;
Day 1;1644124504;Potato;Sugar Cane;Cocoa Beans;
Day 4;1644128104;Potato;Mushroom;Sugar Cane;
Day 7;1644131704;Pumpkin;Melon;Nether Wart;
Day 10;1644135304;Wheat;Carrot;Cocoa Beans;
Day 13;1644138904;Wheat;Potato;Nether Wart;
Day 16;1644142504;Pumpkin;Melon;Cocoa Beans;
Day 19;1644146104;Mushroom;Cactus;Sugar Cane;
Day 22;1644149704;Wheat;Melon;Cocoa Beans;
Day 25;1644153304;Carrot;Cactus;Sugar Cane;
Day 28;1644156904;Potato;Pumpkin;Nether Wart;
Day 31;1644160504;Carrot;Melon;Nether Wart;
Late Winter, Year 188;
Day 3;1644164104;Potato;Pumpkin;Cactus;
Day 6;1644167704;Mushroom;Sugar Cane;Cocoa Beans;
Day 9;1644171304;Wheat;Sugar Cane;Cocoa Beans;
Day 12;1644174904;Potato;Melon;Cactus;
Day 15;1644178504;Carrot;Pumpkin;Mushroom;
Day 18;1644182104;Wheat;Potato;Pumpkin;
Day 21;1644185704;Carrot;Nether Wart;Cocoa Beans;
Day 24;1644189304;Mushroom;Cactus;Sugar Cane;
Day 27;1644192904;Pumpkin;Cactus;Cocoa Beans;
Day 30;1644196504;Wheat;Melon;Mushroom;
